chart_id,source,metric,series,value,unit,note,local_ref
constraint_failure_taxonomy,Constraint Decay,Logic-error root cause,Qwen incorrect query logic,25.5,percent,"Data-layer defect.",paper-text/constraint-decay-2605.06445.txt
constraint_failure_taxonomy,Constraint Decay,Logic-error root cause,Qwen DB/ORM runtime error,21.2,percent,"Data-layer defect.",paper-text/constraint-decay-2605.06445.txt
codetaste_instructed,CODETASTE,Alignment score,GPT-5.2 instructed track,69.6,percent,"Detailed refactoring intent provided.",paper-text/codetaste-2603.04177.txt
codetaste_instructed,CODETASTE,Test pass rate,GPT-5.2 instructed track,76.0,percent,"Detailed refactoring intent provided.",paper-text/codetaste-2603.04177.txt
codetaste_instructed,CODETASTE,Alignment score,Claude Sonnet 4.5 instructed track,32.4,percent,"Large correctness gap despite high instruction-following rate.",paper-text/codetaste-2603.04177.txt
codetaste_instructed,CODETASTE,Alignment score,GPT-5.1 Codex Mini instructed track,34.6,percent,"Large correctness gap despite high instruction-following rate.",paper-text/codetaste-2603.04177.txt
codetaste_open,CODETASTE,Alignment score,GPT-5.2 open direct,7.7,percent,"Vague focus area; agent must infer human refactoring choice.",paper-text/codetaste-2603.04177.txt
codetaste_open,CODETASTE,Alignment score,GPT-5.2 open plan,14.1,percent,"Propose-then-implement nearly doubled GPT-5.2 alignment.",paper-text/codetaste-2603.04177.txt
codetaste_open,CODETASTE,Alignment score,GPT-5.2 open multiplan oracle,19.4,percent,"Oracle selection over multiple plans.",paper-text/codetaste-2603.04177.txt
codetaste_scale,CODETASTE,Average files edited,Human refactor task,91.52,files,"Average selected refactoring size.",paper-text/codetaste-2603.04177.txt
codetaste_scale,CODETASTE,Average LOC changed,Human refactor task,2605.39,lines,"Average selected refactoring size.",paper-text/codetaste-2603.04177.txt
codetaste_scale,CODETASTE,Average tests per instance,Repository test suite,1638.53,tests,"Validation scale.",paper-text/codetaste-2603.04177.txt
codetaste_scale,CODETASTE,Average additive rules,OpenGrep static rules,29.66,rules,"Static rules check intended additions.",paper-text/codetaste-2603.04177.txt
codetaste_scale,CODETASTE,Average reductive rules,OpenGrep static rules,63.41,rules,"Static rules check intended removals.",paper-text/codetaste-2603.04177.txt
featurebench_difficulty,FeatureBench,Resolved rate,Claude Opus 4.5,11.0,percent,"FeatureBench feature work remains hard despite strong SWE-bench scores.",paper-text/featurebench-2602.10975.txt
featurebench_difficulty,FeatureBench,Resolved rate,GPT-5.1-Codex,12.5,percent,"FeatureBench feature work remains hard despite strong SWE-bench scores.",paper-text/featurebench-2602.10975.txt
featurebench_scale,FeatureBench,Typical implementation size,FeatureBench task,790.2,lines,"Approximate LOC required per task.",paper-text/featurebench-2602.10975.txt
featurebench_scale,FeatureBench,Typical implementation size,SWE-Dev comparison,190.0,lines,"SWE-Dev comparison figure from FeatureBench.",paper-text/featurebench-2602.10975.txt
