chart_id,source,metric,series,value,unit,note,local_ref
names_disappear_summarization,When Names Disappear,Class-level summarization,DeepSeek V3 obfuscated,76.7,percent,"ClassEval.",paper-text/when-names-disappear-2510.03178.txt
names_disappear_summarization,When Names Disappear,Class-level summarization,GPT-4o original,87.3,percent,"ClassEval.",paper-text/when-names-disappear-2510.03178.txt
names_disappear_summarization,When Names Disappear,Class-level summarization,GPT-4o obfuscated,58.7,percent,"ClassEval.",paper-text/when-names-disappear-2510.03178.txt
type_constrained_codegen,Type-Constrained Code Generation,Compilation-error reduction,HumanEval synthesis,74.8,percent,"Type constraints vs unconstrained.",paper-text/type-constrained-codegen-2504.09246.txt
type_constrained_codegen,Type-Constrained Code Generation,Compilation-error reduction,MBPP synthesis,56.0,percent,"Type constraints vs unconstrained.",paper-text/type-constrained-codegen-2504.09246.txt
type_constrained_codegen,Type-Constrained Code Generation,Average pass@1 relative gain,Synthesis,3.5,percent,"Type constraints improved correctness.",paper-text/type-constrained-codegen-2504.09246.txt
type_constrained_codegen,Type-Constrained Code Generation,Average pass@1 relative gain,Translation,5.0,percent,"Type constraints improved correctness.",paper-text/type-constrained-codegen-2504.09246.txt
type_constrained_codegen,Type-Constrained Code Generation,Average pass@1 relative gain,Repair,37.0,percent,"Repair benefited most.",paper-text/type-constrained-codegen-2504.09246.txt
catcoder_type_context,CatCoder,Pass@k improvement,Java max,17.35,percent,"CatCoder over RepoCoder.",paper-text/catcoder-2406.03283.txt
catcoder_type_context,CatCoder,Compile@k improvement,Java max,14.44,percent,"CatCoder over RepoCoder.",paper-text/catcoder-2406.03283.txt
catcoder_ablation,CatCoder,Pass drop after removing type context,Java max,11.57,percent,"Type context ablation.",paper-text/catcoder-2406.03283.txt
toolgen_static_tools,ToolGen,Dependency coverage improvement,Low end,31.4,percent,"Autocomplete/static tool assistance.",paper-text/toolgen-autocomplete-repo-codegen-2401.06391.txt
toolgen_static_tools,ToolGen,Dependency coverage improvement,High end,39.1,percent,"Autocomplete/static tool assistance.",paper-text/toolgen-autocomplete-repo-codegen-2401.06391.txt
toolgen_static_tools,ToolGen,Static validity-rate improvement,Low end,44.9,percent,"Autocomplete/static tool assistance.",paper-text/toolgen-autocomplete-repo-codegen-2401.06391.txt
toolgen_static_tools,ToolGen,Static validity-rate improvement,High end,57.7,percent,"Autocomplete/static tool assistance.",paper-text/toolgen-autocomplete-repo-codegen-2401.06391.txt
a3codgen_context,A3-CodGen,F1,Global retrieval k=5,0.601,fraction,"Too much global context hurt.",paper-text/a3-codgen-2312.05772.txt
a3codgen_context,A3-CodGen,F1,Global retrieval k=10,0.526,fraction,"Too much global context hurt.",paper-text/a3-codgen-2312.05772.txt
a3codgen_context,A3-CodGen,F1,Global retrieval k=15,0.479,fraction,"Too much global context hurt.",paper-text/a3-codgen-2312.05772.txt
a3codgen_libraries,A3-CodGen,F1 improvement,Third-party-library aware knowledge,34.33,percent,"Installed-library awareness reduced compatibility errors.",paper-text/a3-codgen-2312.05772.txt
