chart_id,source,metric,series,value,unit,note,local_ref
agent_readmes_files,Agent READMEs,Files,CLAUDE.md,922,count,"Collected from selected repositories.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_files,Agent READMEs,Files,AGENTS.md,694,count,"Collected from selected repositories.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_files,Agent READMEs,Files,copilot-instructions.md,687,count,"Collected from selected repositories.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_length,Agent READMEs,Median words,CLAUDE.md,485.0,words,"Very difficult reading ease.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_length,Agent READMEs,Median words,AGENTS.md,335.5,words,"OpenAI Codex context files were shorter/easier.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_length,Agent READMEs,Median words,copilot-instructions.md,535.0,words,"Very difficult reading ease.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_categories,Agent READMEs,Category prevalence,Testing,75.0,percent,"Claude Code files, manual category analysis.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_categories,Agent READMEs,Category prevalence,Implementation Details,69.9,percent,"Claude Code files, manual category analysis.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_categories,Agent READMEs,Category prevalence,Architecture,67.7,percent,"Claude Code files, manual category analysis.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_categories,Agent READMEs,Category prevalence,Build and Run,62.3,percent,"Claude Code files, manual category analysis.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_categories,Agent READMEs,Category prevalence,Security,14.5,percent,"Non-functional requirements were rarer.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_categories,Agent READMEs,Category prevalence,Performance,14.5,percent,"Non-functional requirements were rarer.",paper-text/agent-readmes-context-files-2025.txt
swe_skills_bench,SWE-Skills-Bench,Pass-rate change,Aggregate,1.2,percentage_points,"49 public SWE skills.",paper-text/swe-skills-bench-2603.15401.txt
swe_skills_bench,SWE-Skills-Bench,Token consumption change,Aggregate,10.5,percent,"Skills increased average token use.",paper-text/swe-skills-bench-2603.15401.txt
swe_skills_bench,SWE-Skills-Bench,Skills with zero pass-rate improvement,Observed,39,count,"Out of 49 skills.",paper-text/swe-skills-bench-2603.15401.txt
swe_skills_bench,SWE-Skills-Bench,Best skill pass-rate gain,risk-metrics-calculation,30.0,percentage_points,"Narrow high-fit skill helped.",paper-text/swe-skills-bench-2603.15401.txt
swe_skills_bench,SWE-Skills-Bench,Worst skill pass-rate change,springboot-tdd,-10.0,percentage_points,"Context interference/version mismatch risk.",paper-text/swe-skills-bench-2603.15401.txt
octobench_gap,OctoBench,Checklist success rate,Claude Opus 4.5 avg,85.64,percent,"High per-check compliance.",paper-text/octobench-2601.10343.txt
octobench_gap,OctoBench,Instance success rate,Claude Opus 4.5 avg,28.11,percent,"All-or-nothing instruction satisfaction much lower.",paper-text/octobench-2601.10343.txt
octobench_gap,OctoBench,Checklist success rate,MiniMax-M2 avg,80.34,percent,"High per-check compliance.",paper-text/octobench-2601.10343.txt
octobench_gap,OctoBench,Instance success rate,MiniMax-M2 avg,9.81,percent,"All-or-nothing instruction satisfaction much lower.",paper-text/octobench-2601.10343.txt
octobench_scale,OctoBench,Environments,Dataset,34,count,"Repository-grounded environments.",paper-text/octobench-2601.10343.txt
octobench_scale,OctoBench,Tasks,Dataset,217,count,"Across three scaffold types.",paper-text/octobench-2601.10343.txt
octobench_scale,OctoBench,Objective checklist items,Dataset,7098,count,"Fine-grained instruction-following checks.",paper-text/octobench-2601.10343.txt
