chart_id,source,metric,series,value,unit,note,local_ref
repograph_context_size,RepoGraph,Resolve rate,1-hop flat context,29.67,percent,"11.6 nodes, 37.1 edges, 2310.7 tokens.",paper-text/repograph-2410.14684.txt
repograph_context_size,RepoGraph,Resolve rate,2-hop flat context,26.00,percent,"54.5 nodes, 89.9 edges, 10505.3 tokens; more graph context hurt.",paper-text/repograph-2410.14684.txt
repograph_context_size,RepoGraph,Resolve rate,2-hop summary context,28.67,percent,"1229.2 tokens; compact summaries recovered some value.",paper-text/repograph-2410.14684.txt
contextbench_context_quality,ContextBench,Line F1,mini-SWE-Agent GPT-5,0.312,fraction,"ContextBench Lite; strong pass rate did not imply perfect fine-grained context.",paper-text/contextbench-2602.05892.txt
contextbench_context_quality,ContextBench,Line F1,Prometheus GPT-5,0.231,fraction,"Higher recall but low precision.",paper-text/contextbench-2602.05892.txt
swe_contextbench_reuse,SWE Context Bench,Resolved rate,No context,26.26,percent,"SWE-ContextBench Lite.",paper-text/swe-contextbench-2602.08316.txt
swe_contextbench_reuse,SWE Context Bench,Resolved rate,Oracle Summary Learning,34.34,percent,"Compact relevant summaries helped.",paper-text/swe-contextbench-2602.08316.txt
swe_contextbench_reuse,SWE Context Bench,Resolved rate,Free Summary Learning,22.22,percent,"Autonomous summary retrieval hurt when selection quality dropped.",paper-text/swe-contextbench-2602.08316.txt
swe_contextbench_tokens,SWE Context Bench,Retrieved context tokens,Full trajectories,25633.7,tokens,"Average trajectory size.",paper-text/swe-contextbench-2602.08316.txt
swe_contextbench_tokens,SWE Context Bench,Retrieved context tokens,Summaries,217.1,tokens,"Average summary size.",paper-text/swe-contextbench-2602.08316.txt
